id,ident,type,name,latitude_deg,longitude_deg
2,OM11,small_airport,Abu Dhabi Northeast Airport,24.51889992,54.98009872
3,AGGH,medium_airport,Honiara International Airport,-9.42800045,160.0549927
4,AGGM,medium_airport,Munda Airport,-8.327969551,157.2630005
5,AL-LA10,small_airport,Gjirokastër Airport,40.087889,20.151917
7,UD21,small_airport,Yerevan Yegvard Airport,40.29410172,44.5646019
8,ANYN,medium_airport,Nauru International Airport,-0.547458,166.919006
9,FN18,small_airport,Matala Airport,-14.72749996,15.01399994
10,FN19,small_airport,Cabo Ledo Airport,-9.653050423,13.26060009
11,NZ12,small_airport,Palmer Station Airport,-64.77500153,-64.05439758
12,SA47,small_airport,Petrel Airport,-63.47900009,-56.23130035
13,SA01,small_airport,Cachi Airport,-25.10499954,-66.15720367
14,SA02,small_airport,Cafayate Airport,-26.05610085,-65.93689728
15,SA03,small_airport,Villa Minetti Airport,-28.6201,-61.6038
16,SA04,small_airport,Isla Martin Garcia Airport,-34.1821,-58.2469
17,SA05,small_airport,Bell Ville Airport,-32.6599,-62.702
18,SA06,small_airport,Santa Rita Airport,-35.8283,-60.1467
19,SA07,small_airport,El Porton Airport,-37.19499969,-69.60949707
20,SA10,small_airport,Estancia Don Panos Airport,-26.2959,-59.5353
21,SA11,small_airport,Campo Arenal Airport,-27.07229996,-66.58609772
22,SA12,small_airport,Quemu Quemu Airport,-36.0587,-63.6313
23,SA13,small_airport,Estancia La Estrella Airport,-37.55939865,-58.66600037
24,SA14,small_airport,Miramar Airport,-38.2271,-57.8697
25,SA16,small_airport,La Puntilla Airport,-32.96279907,-68.873703
26,SA17,small_airport,Rio Cuarto Aeroclub Airport,-33.16059875,-64.33820343
28,SA20,small_airport,Loma La Lata Airport,-38.41379929,-68.73729706
29,SA21,small_airport,Veinticinco De Mayo Airport,-37.80979919,-67.65930176
30,SA22,small_airport,Santa Victoria Airport,-22.28569984,-62.71369934
31,SA23,small_airport,Apóstoles Airport,-27.90320015,-55.76549912
32,SA24,small_airport,Calilegua Airport,-23.78190041,-64.74949646
33,SA25,small_airport,Cañadon Seco Airport,-46.539,-67.5639
34,SA26,small_airport,Bella Vista Airport,-28.5262,-59.0385
36,SA29,small_airport,Choele Choel Airport,-39.28639984,-65.61029816
38,SA31,small_airport,San Nicolas De Los Arroyos Airport,-33.3907,-60.1957
39,SA32,small_airport,Venado Tuerto Airport,-33.6818,-61.9564
40,SA33,small_airport,Comandante Luis Piedrabuena Airport,-49.9951,-68.9531
41,SA34,small_airport,Trelew Aeroclub Airport,-43.2356,-65.3241
42,SA35,small_airport,Andalgalá Airport,-27.63170052,-66.35079956
43,SA36,small_airport,Saladillo Airport,-35.6081,-59.8164
44,SA38,small_airport,Las Lajas Airport,-38.53889847,-70.33709717
45,SA39,small_airport,Jujuy Aeroclub Airport,-24.23649979,-65.26909637
46,SA40,small_airport,San Juan Aeroclub Airport,-31.60280037,-68.54730225
47,SA42,small_airport,Santa Maria Airport,-26.67340088,-66.02400208
48,SA44,small_airport,Londres/Belén Airport,-27.70789909,-67.0951004
49,SA45,small_airport,Frias Airport,-28.63439941,-65.10919952
53,AYBK,medium_airport,Buka Airport,-5.422319889,154.6730042
54,AYCH,medium_airport,Chimbu Airport,-6.024290085,144.970993
55,AYDU,medium_airport,Daru Airport,-9.086759567,143.2079926
56,AYGA,medium_airport,Goroka Airport,-6.081689835,145.3919983
57,AYGN,medium_airport,Gurney Airport,-10.3114996,150.3339996
58,AYGR,medium_airport,Girua Airport,-8.80453968,148.3090057
59,AYHK,medium_airport,Kimbe Airport,-5.462170124,150.4049988
60,AYKM,medium_airport,Kerema Airport,-7.963610172,145.7709961
61,AYKV,medium_airport,Kavieng Airport,-2.579400063,150.8079987
62,AYMD,medium_airport,Madang Airport,-5.207079887,145.7890015
63,AYMH,medium_airport,Mount Hagen Kagamuga Airport,-5.826789856,144.2960052
64,AYMN,medium_airport,Mendi Airport,-6.14774,143.656998
65,AYMO,medium_airport,Momote Airport,-2.06189,147.423996
66,AYNZ,medium_airport,Nadzab Airport,-6.569803,146.725977
67,AYPY,large_airport,Port Moresby Jacksons International Airport,-9.443380356,147.2200012
68,AYTK,medium_airport,Tokua Airport,-4.340459824,152.3800049
69,AYVN,medium_airport,Vanimo Airport,-2.6926,141.3028
70,AYWD,medium_airport,Wapenamanda Airport,-5.643300056,143.8950043
71,AYWK,medium_airport,Wewak International Airport,-3.583830118,143.6690063
72,UBBL,small_airport,Lankaran International Airport,38.74639893,48.81800079
73,UB12,medium_airport,Nasosnaya Air Base,40.59159851,49.55739975
74,UB13,medium_airport,Stepanakert Air Base,39.90140152,46.78699875
75,UB14,medium_airport,Kyurdamir Air Base,40.27360153,48.16360092
76,UB16,small_airport,Belokany Airport,41.73500061,46.35499954
77,UB18,medium_airport,Baku Kala Air Base,40.40660095,50.20019913
78,UG11,medium_airport,Dollyar Air Base,40.88759995,45.95700073
79,LB11,small_airport,Tsalapita Airport,42.188747,24.535716
81,LB13,small_airport,Radomir Dolni Rakovets Airfield,42.44419861,22.98349953
82,LBHS,medium_airport,Uzundzhovo Air Base,41.97639847,25.58979988
83,LBMG,medium_airport,Gabrovnitsa Air Base,43.54430008,23.27249908
84,LBTG,small_airport,Bukhovtsi Airfield,43.30659866,26.70089912
85,LBSL,small_airport,Sliven Airfield,42.64630127,26.3593998
86,LB18,small_airport,Tenevo Airport,42.34640121,26.57390022
87,LB19,small_airport,Zimnitsa Airport,42.6004982,26.63369942
89,LBPG,medium_airport,Graf Ignatievo Air Base,42.29040146,24.7140007
93,LBWB,medium_airport,Balchik Air Base,43.42380142,28.18129921
95,LB27,small_airport,Podem Airport,43.5481987,24.5904007
96,LB29,small_airport,Maslarevo Airport,43.40539932,25.47400093
97,LB30,small_airport,Stryama Airport,42.28530121,24.86849976
98,LB31,small_airport,Levski Airport,43.36940002,25.14909935
99,LB32,small_airport,Konush Airport,42.07239914,25.05330086
100,LB33,small_airport,Leskovo Airport,43.72660065,27.68600082
101,LB34,small_airport,Stefanovo Airport,43.50690079,27.84490013
102,LB35,small_airport,Golyama Smolnitsa Airport,43.62789917,27.69409943
103,LB36,small_airport,Sokolovo Airport,43.4756012,28.10269928
104,LB37,small_airport,Stanke Dimitrov Highway Strip,42.17570114,23.05089951
105,LB38,small_airport,Mustrak Airport,41.84000015,26.30970001
106,LB39,small_airport,Graf Ignatievo South Airport,42.26319885,24.71929932
107,LBVD,small_airport,Vidin Smurdan Airfield,44.0224,22.816099
108,LBPL,medium_airport,Dolna Mitropoliya Air Base,43.451401,24.5028
109,LB42,small_airport,Kamenets Airport,43.32730103,25.0034008
111,BG-JAM,medium_airport,Bezmer Air Base,42.45489883,26.35219955
112,LB45,small_airport,Petrich Airport,41.44829941,23.21710014
113,BGBW,medium_airport,Narsarsuaq Airport,61.16049957,-45.42599869
114,BGGH,medium_airport,Godthaab / Nuuk Airport,64.19090271,-51.67810059
115,BGSF,medium_airport,Kangerlussuaq Airport,67.0122219,-50.71160316
116,BGTL,medium_airport,Thule Air Base,76.53119659,-68.70320129
117,BIAR,medium_airport,Akureyri Airport,65.66000366,-18.0727005
118,BIBD,small_airport,Bildudalur Airport,65.64129639,-23.5461998
119,BIEG,medium_airport,Egilsstaðir Airport,65.28330231,-14.40139961
120,BIHN,medium_airport,Hornafjörður Airport,64.295601,-15.2272
121,BIHU,medium_airport,Húsavík Airport,65.952301,-17.426001
122,BIIS,medium_airport,Ísafjörður Airport,66.05809784,-23.13529968
123,BIKF,large_airport,Keflavik International Airport,63.98500061,-22.60560036
124,BIPA,small_airport,Patreksfjörður Airport,65.555801,-23.965
125,BIRK,medium_airport,Reykjavik Airport,64.12999725,-21.94059944
126,BISI,medium_airport,Siglufjörður Airport,66.133301,-18.9167
127,BITN,small_airport,Thorshofn Airport,66.21849823,-15.3355999
128,BIVM,medium_airport,Vestmannaeyjar Airport,63.42430115,-20.27890015
133,SNBZ,small_airport,Paramirim Airport,-13.44611073,-42.2491684
138,SNOG,small_airport,Ceará-Mirim Airport,-5.66121006,-35.41389847
139,SWMX,small_airport,Morrinhos Airport,-17.7614994,-49.12210083
141,SDAA,small_airport,Araras Airport,-22.33909988,-47.35929871
142,SDAD,small_airport,Everaldo Moras Barreto Airport,-21.69479942,-51.09730148
143,SDAF,small_airport,Fazenda Palmeiras Airport,-22.15670013,-47.71929932
144,SDAG,small_airport,Angra dos Reis Airport,-22.97529984,-44.30709839
145,SDAI,small_airport,Americana Airport,-22.75580025,-47.26940155
146,SDAJ,small_airport,Fazenda Recanto Airport,-22.5967,-54.0811
148,SDAM,small_airport,Amarais Airport,-22.85919952,-47.10820007
149,SDAS,small_airport,Fazenda Santo Antônio Airport,-21.27569962,-51.28319931
150,SDBB,small_airport,Bebedouro Airport,-20.90040016,-48.47330093
151,SDBK,small_airport,Botucatu - Tancredo de Almeida Neves Airport,-22.93950081,-48.4679985
152,SDBP,small_airport,Fazenda Pontal Airport,-15.738119,-51.115982
153,SDCA,small_airport,Capão Bonito Airport,-24.03619957,-48.3567009
154,SDCD,small_airport,Catanduva Airport,-21.14920044,-48.98870087
155,SDCG,small_airport,Senadora Eunice Micheles Airport,-3.467929508,-68.92041206
156,SDCO,small_airport,Sorocaba Airport,-23.47800064,-47.49000168
157,SDDN,small_airport,Andradina - Paulino Ribeiro de Andrade Airport,-20.92499924,-51.38199997
158,SDDR,small_airport,Dracena Airport,-21.46050072,-51.60689926
159,SDEG,small_airport,Fazenda Nova Califórnia Airport,-22.4666996,-51.20080185
160,SDEO,small_airport,Fazenda Entre Rios Airport,-21.87859917,-48.65940094
161,SDEP,small_airport,Presidente Epitácio Airport,-21.77429962,-52.14379883
162,SDFA,small_airport,Fazenda Bonança Airport,-20.67639923,-51.03079987
163,SDFD,small_airport,Fernandópolis - Coronel Aviador Carlos Orleans Guimarães Airport,-20.27659988,-50.21559906
164,SDFH,small_airport,Fazenda Amália Airport,-21.44400024,-47.3708992
166,SDFX,small_airport,Casa Nova Airport,-9.157090187,-40.93769836
167,SDIB,small_airport,Irmãos Ribeiro Airport,-22.15810013,-46.77529907
168,SDIG,small_airport,Ibitinga Airport,-21.74729919,-48.85570145
169,SDIL,small_airport,Fazenda Pedra Branca Airport,-22.90340042,-44.28900146
170,SDIO,small_airport,Aeroclube de Itápolis Airport,-21.59972191,-48.83277893
171,SDIV,small_airport,Ituverava Airport,-20.37549973,-47.76869965
172,SDJA,small_airport,Doutor José Augusto de Arruda Botelho Airport,-22.19472,-47.86167
174,SDJL,small_airport,Jales Airport,-20.29299927,-50.54639816
175,SDJQ,small_airport,Fazenda São Joaquim O.B. Airport,-20.82839966,-51.00799942
176,SDKF,small_airport,Juazeiro Airport,-9.155540466,-40.09140015
177,SDKJ,small_airport,Formosa do Rio Preto Airport,-11.02159977,-45.18669891
178,SDKO,small_airport,Fazenda Campo Grande Airport,-20.25769997,-48.78860092
179,SDLI,small_airport,Abaré Airport,-8.736989975,-39.11539841
180,SDLJ,small_airport,Igarapé Bahia Airport,-6.047780037,-50.57970047
181,SDLK,small_airport,Caculé Airport,-14.48120022,-42.26470184
182,SDLO,small_airport,Caculé Airport,-13.56480026,-38.93999863
183,SDLP,small_airport,Lençóis Paulista Airport,-22.57839966,-48.77460098
184,SDLU,small_airport,Fazenda Santa Luíza Airport,-22.48310089,-48.5245018
185,SDMC,small_airport,Maricá Airport,-22.91950035,-42.83089828
186,SDME,small_airport,Marchesan S.A. Airport,-21.63059998,-48.39289856
187,SDMV,small_airport,Fazenda Morro Vermelho Airport,-22.2772007,-48.60449982
188,SDMY,small_airport,Fazenda Cambuhy Airport,-21.63290024,-48.47909927
189,SDNO,small_airport,São Manuel Airport,-22.69580078,-48.57659912
190,SDNY,small_airport,Aeroclube Airport,-22.74530029,-43.46030045
191,SDOB,small_airport,Fazenda São José OB Airport,-21.42519951,-46.75429916
192,SDOU,small_airport,Ourinhos Airport,-22.96649933,-49.91329956
193,SDOV,small_airport,Mozarlândia Airport,-14.77040005,-50.56409836
194,SDOW,small_airport,Ourilândia do Norte Airport,-6.763100147,-51.04990005
195,SDPN,small_airport,Penápolis Airport,-21.40999985,-50.03359985
196,SDPP,small_airport,Fazenda Fortaleza Airport,-23.29299927,-48.81439972
197,SDPW,small_airport,Piracicaba Airport,-22.71150017,-47.61819839
198,SDQQ,small_airport,Companhia Agrícola de Quatá Airport,-22.28610039,-50.63890076
199,SDRR,small_airport,Avaré-Arandu Airport,-23.09250069,-48.98740005
200,SDRS,small_airport,Resende Airport,-22.47850037,-44.4803009
201,SDSC,small_airport,São Carlos Airport,-21.87540054,-47.90370178
202,SDTE,small_airport,Fazenda Tapijara Airport,-23.21999931,-49.07590103
203,SDTF,small_airport,Tatuí Airport,-23.33189964,-47.87829971
204,SDTP,small_airport,Tupã Airport,-21.88909912,-50.50510025
205,SDTY,small_airport,Usina São Martinho Airport,-21.33979988,-48.11489868
206,SDUB,small_airport,Ubatuba Airport,-23.44109917,-45.07559967
207,SDUD,small_airport,Usina Santa Adélia Airport,-21.33230019,-48.31620026
208,SDUN,small_airport,Itaperuna Airport,-21.21929932,-41.87590027
209,SDUO,small_airport,Alagoinhas Airport,-12.17510033,-38.38019943
210,SDVE,small_airport,Vera Cruz Airport,-22.23019981,-49.81719971
211,SDVG,small_airport,Votuporanga Airport,-20.46319962,-50.00450134
212,SDWH,small_airport,Fazenda Avanhandava Airport,-21.18860054,-49.93610001
213,SDXB,small_airport,Cristalina Airport,-16.79100037,-47.64519882
214,SDXE,small_airport,Chácara Serradinho Airport,-21.26479912,-48.35609818
215,SDXF,small_airport,Alto Paraíso Airport,-14.12100029,-47.53089905
216,SDXJ,small_airport,Costa Rica Airport,-18.48667,-53.15333
217,SDYW,small_airport,Itapeva Airport,-23.94140053,-48.88180161
218,SDZH,small_airport,Fazenda Santa Helena Airport,-22.89039993,-45.49330139
219,SDZM,small_airport,Fazenda São Marcos Airport,-23.92239952,-48.81829834
220,SDZS,small_airport,Fazenda Bananeira Airport,-20.57999992,-49.07970047
221,SIAB,small_airport,Leda Mello Resende Airport,-21.37190056,-45.49489975
222,SIBD,small_airport,Benedito Mutran Airport,-5.758570194,-49.17620087
223,SIBU,small_airport,Catolé da Rocha Airport,-6.362530231,-37.75619888
224,SIBW,small_airport,Conceição Airport,-7.558229923,-38.49649811
225,SIBY,small_airport,Monteiro Airport,-7.878240108,-37.13999939
226,SIBZ,small_airport,Itaporanga Airport,-7.311659813,-38.11270142
227,SIFR,small_airport,Fazenda Romaria Airport,-18.87059975,-47.55939865
228,SIFV,small_airport,Primo Bitti Airport,-19.82640076,-40.10079956
229,SIGF,small_airport,Fazenda Jopejó Airport,-15,-55.82500076
230,SIMJ,small_airport,Capinópolis - Aviação Agrícola Buttarello Ltda. Airport,-18.65920067,-49.54759979
231,SIMK,small_airport,Franca Airport,-20.59219933,-47.38290024
232,SIPE,small_airport,Itapessoca Airport,-7.656010151,-34.85649872
233,SIPG,small_airport,Fazenda Água Preta Airport,-14.13809967,-51.46640015
234,SIPK,small_airport,SESC Pantanal Airport,-16.49740028,-56.42219925
235,SIQJ,small_airport,Morro do Chapéu II Airport,-14.95829964,-55.80070114
236,SIRJ,small_airport,Caima Airport,-4.303589821,-56.2181015
237,SIRN,small_airport,Fazenda Jaó Airport,-14.75833,-51.98972
238,SIUW,small_airport,Candote Airport,-20.83919907,-52.30160141
239,SIVD,small_airport,Fazenda dos Três Rios Airport,-16.94499969,-46.2737999
240,SIVU,small_airport,João Moteiro Airport,-20.42277718,-40.33333206
241,SIWE,small_airport,Nelson Pizzani Airport,-27.21269989,-50.95650101
242,SIXO,small_airport,Fazenda Nossa Senhora de Fátima Airport,-13.98449993,-59.65840149
243,SIXP,small_airport,Fazenda Paiaguás Airport,-14.07229996,-57.45069885
244,SIYY,small_airport,Ilha do Caracará Airport,-17.45859909,-56.84059906
245,SIZG,small_airport,Fazenda Encontro das Águas Airport,-22.60790062,-48.38790131
246,SIZI,small_airport,Fazenda Vitória Airport,-18.75279999,-51.47309875
247,SIZO,small_airport,Calcário Vale do Araguaia Airport,-14.19029999,-51.64390182
248,SJAK,small_airport,Fazenda F5 Airport,-18.36416626,-48.87194443
249,SJAU,small_airport,Araguacema Airport,-8.837719917,-49.55749893
250,SJBY,small_airport,João Silva Airport,-3.654279947,-45.34519958
251,SJCA,small_airport,Comandante Vittorio Bonomi Airport,-21.53039932,-47.04650116
252,SJCQ,small_airport,Fazenda Serra Azul Airport,-11.93550014,-40.05070114
253,SJCW,small_airport,Jatapu Airport,-1.712049961,-58.51119995
256,SJER,small_airport,Fazenda Canadá Airport,-17.31888889,-50.32027778
257,SJFF,small_airport,Frigo Estrela Airport,-20.2947216,-50.41055679
258,SJGP,small_airport,Fazenda Grupal Airport,-10.04222222,-51.58916667
259,SJGU,small_airport,Araguatins Airport,-5.684440136,-48.11560059
260,SJIT,small_airport,Itaú de Minas Airport,-20.75530052,-46.75019836
261,SJJL,small_airport,Fazenda Campo Aberto Airport,-11.78829956,-45.96469879
262,SJQN,small_airport,Quirinópolis Airport,-18.44610023,-50.40919876
264,SJXS,small_airport,Veracel Airport,-16.1044445,-39.36388779
265,SNAB,small_airport,Araripina Airport,-7.586760044,-40.53549957
266,SNAC,small_airport,Fazenda Santa Rosa Airport,-7.036670208,-50.08890152
267,SNAE,small_airport,Arcoverde Airport,-8.407879829,-37.08819962
268,SNAG,small_airport,Araguari Airport,-18.66830063,-48.19049835
269,SNAH,small_airport,Adustina Airport,-10.58090019,-38.08879852
270,SNAL,small_airport,Arapiraca Airport,-9.775360107,-36.62919998
271,SNAM,small_airport,Santo Antônio do Amparo Airport,-20.91349983,-44.89289856
272,SNAP,small_airport,Janaúba Airport,-15.73200035,-43.32310104
273,SNAR,small_airport,Cirilo Queiróz Airport,-16.18389,-40.66722
274,SNAS,small_airport,Três Marias Airport,-18.22240067,-45.18899918
275,SNAT,small_airport,Aracati Airport,-4.567140102,-37.79999924
276,SNAZ,small_airport,Amargosa Airport,-12.99359989,-39.63990021
277,SNBD,small_airport,Sobradinho Airport,-9.462010384,-40.82429886
278,SNBG,small_airport,Baixo Guandu - Aimorés Airport,-19.49900055,-41.04180145
279,SNBI,small_airport,Bacabal Airport,-4.22770977,-44.81999969
280,SNBJ,small_airport,Belo Jardim Airport,-8.345270157,-36.44120026
281,SNBL,small_airport,Belmonte Airport,-15.87170029,-38.87189865
282,SNBM,small_airport,Cristiano Ferreira Varella Airport,-21.12610054,-42.39440155
283,SNBR,small_airport,Barreiras Airport,-12.07890034,-45.00899887
284,SNBS,small_airport,Balsas Airport,-7.526030064,-46.05329895
285,SNBU,small_airport,Sócrates Mariani Bittencourt Airport,-14.2553997,-41.81750107
286,SNBV,small_airport,Campo de Boi Airport,-2.523309946,-47.51739883
287,SNBX,small_airport,Barra Airport,-11.08080006,-43.14749908
288,SNBY,small_airport,Bambuí Airport,-20.03639984,-45.97230148
289,SNCA,small_airport,Campo Belo Airport,-20.89229965,-45.33509827
290,SNCI,small_airport,Cibrasa Airport,-1.230999947,-47.20059967
291,SNCS,small_airport,Campos Sales Airport,-7.05302,-40.35850143
292,SNCT,small_airport,Ubaporanga Airport,-19.72529984,-42.11209869
293,SNCW,small_airport,Centro de Lançamento de Alcântara Airport,-2.372999907,-44.39640045
294,SNCX,small_airport,Colatina Airport,-19.48699951,-40.57939911
295,SNCZ,small_airport,Ponte Nova Airport,-20.40329933,-42.91650009
296,SNDC,small_airport,Redenção Airport,-8.033289909,-49.97990036
297,SNDN,small_airport,Leopoldina Airport,-21.46610069,-42.72700119
298,SNDR,small_airport,Domingos Rego Airport,-5.079790115,-42.87369919
299,SNDT,small_airport,Diamantina Airport,-18.23200035,-43.65039825
300,SNDV,small_airport,Brigadeiro Cabral Airport,-20.1807003,-44.8708992
301,SNDW,small_airport,Divisa Airport,-15.71722221,-41.01722336
302,SNED,small_airport,Sócrates Rezende Airport,-15.66699982,-38.95470047
303,SNEU,small_airport,Euclides da Cunha Airport,-10.52729988,-39.03269958
304,SNEW,small_airport,Fazenda Congonhas Airport,-19.66259956,-50.95130157
305,SNFA,small_airport,Fazenda Santo Antônio Airport,-16.71619987,-46.52119827
306,SNFE,small_airport,Alfenas Airport,-21.4314003,-45.93209839
307,SNFI,small_airport,Fazenda São José do Parnaíba Airport,-18.38750076,-48.86166763
308,SNFR,small_airport,Belém de São Francisco Airport,-8.769590378,-38.94960022
309,SNFU,small_airport,Frutal Airport,-20.00279999,-48.95840073
310,SNFX,small_airport,São Félix do Xingu Airport,-6.6413,-51.9523
311,SNFZ,small_airport,Fazenda Villa Terezinha Airport,-17.40550041,-43.94039917
312,SNGA,small_airport,Guarapari Airport,-20.64649963,-40.4919014
313,SNGG,small_airport,Bom Jesus do Gurguéia Airport,-9.057250023,-44.37110138
314,SNGH,small_airport,Guanhães Airport,-18.70770073,-42.83890152
315,SNGI,small_airport,Guanambi Airport,-14.20820045,-42.74610138
316,SNGN,small_airport,Garanhuns Airport,-8.834280014,-36.47159958
317,SNGT,small_airport,Gentio de Ouro Airport,-11.44169998,-42.51819992
318,SNGX,small_airport,Guaxupé Airport,-21.32640076,-46.73120117
319,SNHP,small_airport,Herbert Mata Pires Airport,-12.40246391,-40.47465515
320,SNHS,small_airport,Santa Magalhães Airport,-8.062399864,-38.3288002
321,SNIB,small_airport,Itaberaba Airport,-12.5,-40.26990128
322,SNIC,small_airport,Irecê Airport,-11.33990002,-41.84700012
323,SNIE,small_airport,Caetité Airport,-14.01210022,-42.49459839
324,SNIG,small_airport,Iguatu Airport,-6.34664011,-39.29380035
325,SNIP,small_airport,Itapetinga Airport,-15.24450016,-40.27719879
326,SNIT,small_airport,Ibotirama Airport,-12.16860008,-43.2220993
327,SNIU,small_airport,Ipiaú Airport,-14.1338892,-39.73389053
328,SNJB,small_airport,Jacobina Airport,-11.16320038,-40.55310059
329,SNJD,small_airport,João Durval Carneiro Airport,-12.20030022,-38.90679932
330,SNJI,small_airport,Fazenda Fortaleza de Santa Terezinha Airport,-17.1868,-44.6495018
331,SNJK,small_airport,Jequié Airport,-13.87769985,-40.07160187
332,SNJN,small_airport,Januária Airport,-15.47379971,-44.38550186
333,SNJO,small_airport,Aeroclube Airport,-7.091989994,-34.84159851
334,SNJP,small_airport,João Pinheiro Airport,-17.78750038,-46.11999893
335,SNJQ,small_airport,Jequitinhonha Airport,-16.44190025,-41.03689957
336,SNJR,small_airport,Prefeito Octávio de Almeida Neves Airport,-21.08499908,-44.22472382
337,SNJV,small_airport,Fazenda Santa Mônica Airport,-16.002737,-43.746648
338,SNJW,small_airport,Jaraguá Airport,-20.04030037,-47.42150116
339,SNKD,small_airport,Conceição do Mato Dentro Airport,-19.02029991,-43.43389893
340,SNKE,small_airport,Santana do Araguaia Airport,-9.319970131,-50.32849884
341,SNKI,small_airport,Cachoeiro do Itapemirim Airport,-20.83429909,-41.18560028
342,SNKK,small_airport,Caicó Airport,-6.439169884,-37.07830048
343,SNKO,small_airport,Brotas de Macaúbas Airport,-11.99940014,-42.63489914
344,SNLA,small_airport,Fazenda Lagoa das Antas Airport,-6.567500114,-49.71944427
345,SNLI,small_airport,Abaeté Airport,-19.15559959,-45.49480057
346,SNLN,small_airport,Linhares Airport,-19.35519981,-40.06949997
347,SNLO,small_airport,São Lourenço Airport,-22.09090042,-45.04449844
348,SNLQ,small_airport,Fazenda Conforto Airport,-14.06579971,-50.41590118
349,SNLY,small_airport,Lagoa da Prata Airport,-20.06139946,-45.55490112
350,SNMA,small_airport,Monte Alegre Airport,-1.995800018,-54.07419968
351,SNMC,small_airport,Macaúbas Airport,-13.02499962,-42.67229843
352,SNMK,small_airport,Mocambinho Airport,-15.09300041,-43.97909927
353,SNMU,small_airport,Mucuri Airport,-18.0489006,-39.86420059
354,SNMX,small_airport,São Mateus Airport,-18.72130013,-39.83369827
355,SNMZ,small_airport,Porto de Moz Airport,-1.741449952,-52.23609924
356,SNND,small_airport,Berlin Ltda Airport,-18.93530083,-49.47269821
357,SNNH,small_airport,Carinhanha Airport,-14.29850006,-43.79729843
358,SNNT,small_airport,Nova Ponte Airport,-19.1984005,-47.72869873
359,SNNU,small_airport,Nanuque Airport,-17.82329941,-40.32989883
360,SNOB,small_airport,Sobral Airport,-3.67888999,-40.33679962
361,SNOM,small_airport,Fazenda Guaporeí Airport,-15.00669956,-60.22069931
362,SNOO,small_airport,Fazenda Quatrilho Airport,-13.35778,-55.61611
363,SNOS,small_airport,Municipal José Figueiredo Airport,-20.73220062,-46.66180038
364,SNOX,small_airport,Oriximiná Airport,-1.714079976,-55.83620071
365,SNOY,small_airport,Ouricuri Airport,-7.876520157,-40.09180069
366,SNOZ,small_airport,Coronel Alexandre Raposo Airport,-2.52097,-44.1213
367,SNPA,small_airport,Pará de Minas Airport,-19.84259987,-44.6012001
368,SNPC,small_airport,Picos Airport,-7.062059879,-41.52370071
369,SNPD,small_airport,Patos de Minas Airport,-18.67280006,-46.49119949
370,SNPE,small_airport,Penedo Airport,-10.26589966,-36.55149841
373,SNPM,small_airport,Palmeiras Airport,-12.50055556,-41.58388889
374,SNPS,small_airport,Pontezinha Airport,-15.26010036,-46.76240158
375,SNPX,small_airport,Pirapora Airport,-17.31690025,-44.86029816
376,SNPY,small_airport,São Sebastião do Paraíso Airport,-20.94820023,-46.98320007
377,SNQD,small_airport,Sousa Airport,-6.785439968,-38.23339844
378,SNQG,small_airport,Cangapara Airport,-6.846389771,-43.07730103
379,SNQU,small_airport,Mucugê Airport,-13.03120041,-41.44409943
380,SNQV,small_airport,Curvelo Airport,-18.74939919,-44.45700073
381,SNQX,small_airport,Quixadá Airport,-4.979070187,-38.98759842
382,SNRB,small_airport,Fazenda Rosa de Maio Airport,-4.315209866,-56.10749817
383,SNRD,small_airport,Prado Airport,-17.29669952,-39.27119827
384,SNRE,small_airport,Fazenda Rebeca Airport,-12.68270016,-43.87149811
385,SNRH,small_airport,Rachid Saliba Airport,-21.0394001,-45.87220001
386,SNRM,small_airport,Remanso Airport,-9.650278091,-42.11722183
387,SNRR,small_airport,Fazenda Aratau Airport,-4.151309967,-50.16329956
388,SNRS,small_airport,Russas Airport,-4.947269917,-38.0082016
389,SNRU,small_airport,Caruaru Airport,-8.282389641,-36.01350021
390,SNSG,small_airport,Salgueiro Airport,-8.047160149,-39.13639832
391,SNSM,small_airport,Salinópolis Airport,-0.695663989,-47.33470154
393,SNSO,small_airport,Serro Airport,-18.60849953,-43.42409897
394,SNSR,small_airport,Fazenda Santos Reis Airport,-17.54789925,-46.97869873
395,SNSS,small_airport,Salinas Airport,-16.20829964,-42.3219986
396,SNST,small_airport,Souto Soares Airport,-12.09729958,-41.64070129
397,SNSW,small_airport,Soure Airport,-0.699431002,-48.52099991
398,SNTD,small_airport,Fazenda Mamoneira Airport,-16.58620071,-46.50109863
399,SNTF,small_airport,9 de Maio - Teixeira de Freitas Airport,-17.52449989,-39.66849899
400,SNTI,small_airport,Óbidos Airport,-1.867169976,-55.51440048
401,SNTL,small_airport,Tamboril Airport,-4.857830048,-40.37459946
402,SNTO,small_airport,Juscelino Kubitscheck Airport,-17.89229965,-41.5135994
403,SNTR,small_airport,Piritiba Airport,-11.73810005,-40.56949997
404,SNTS,small_airport,Patos Airport,-7.038990021,-37.25159836
405,SNTT,small_airport,Tranquilo Restolin Airport,-18.75819969,-45.10760117
406,SNTV,small_airport,Fazenda Veredão Airport,-15.65530014,-41.65409851
407,SNUB,small_airport,Ubá Airport,-21.12100029,-42.88190079
408,SNUC,small_airport,Açu Airport,-5.595049858,-36.96089935
409,SNUI,small_airport,Araçuai Airport,-16.8526001,-42.04510117
410,SNUN,small_airport,Unaí Airport,-16.35650063,-46.92770004
